counter_name,timestamp,time_range,Max Active Threads,Max Active Threads_extra,Throughput,Throughput_extra,Average Duration,Average Duration_extra,Median Duration,Median Duration_extra,> 500 ms,> 500 ms_extra,> 1 second,> 1 second_extra,> 2 seconds,> 2 seconds_extra,> 3 seconds,> 3 seconds_extra,Standard Deviation,Standard Deviation_extra,Max Duration,Max Duration_extra,Min Duration,Min Duration_extra,Total Hits,Total Hits_extra,Total Completions,Total Completions_extra,(SQL)Avg. Duration,(SQL)Avg. Duration_extra,(SQL)Std. Dev,(SQL)Std. Dev_extra,(SQL)Max Duration,(SQL)Max Duration_extra,(SQL)Min Duration,(SQL)Min Duration_extra,Max Active Threads,Max Active Threads_extra,Max Throughput,Max Throughput_extra,Average Duration,Average Duration_extra,Standard Deviation,Standard Deviation_extra,Max Duration,Max Duration_extra,Min Duration,Min Duration_extra,(SQL)Avg. Duration,(SQL)Avg. Duration_extra,(SQL)Std. Dev,(SQL)Std. Dev_extra,(SQL)Max Duration,(SQL)Max Duration_extra,(SQL)Min Duration,(SQL)Min Duration_extra
WebRequest,2023-01-21 06:24:52.089,06:14:49:826 -> 06:24:49:826,8, (2023-01-21 04:48:53:772),33.90, per minute,50.00,,0.0,,2.65,%,1.18,%,0.00,%,0.00,%,482.97,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:24:40:518),339,,339,,30.00,,159.23,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:11:56:725),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),50.00,,482.97,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:24:40:518),30.00,,159.23,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:11:56:725)
WebRequest,2023-01-21 06:34:52.104,06:24:49:826 -> 06:34:49:827,8, (2023-01-21 04:48:53:772),32.80, per minute,49.00,,0.0,,0.91,%,0.00,%,0.00,%,0.00,%,478.97,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:33:02:445),328,,328,,30.00,,159.08,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:24:49:069),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),49.00,,478.97,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:33:02:445),30.00,,159.08,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:24:49:069)
WebRequest,2023-01-21 06:44:52.121,06:34:49:827 -> 06:44:49:827,8, (2023-01-21 04:48:53:772),22.20, per minute,49.00,,0.0,,1.35,%,0.45,%,0.00,%,0.00,%,476.45,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:43:33:394),222,,222,,30.00,,158.49,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:33:07:684),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),49.00,,476.45,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:43:33:394),30.00,,158.49,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:33:07:684)
WebRequest,2023-01-21 06:54:52.139,06:44:49:827 -> 06:54:49:827,8, (2023-01-21 04:48:53:772),19.70, per minute,49.00,,0.0,,0.00,%,0.00,%,0.00,%,0.00,%,474.08,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:50:25:424),197,,197,,30.00,,157.87,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:43:53:655),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),49.00,,474.08,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 06:50:25:424),30.00,,157.87,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:43:53:655)
WebRequest,2023-01-21 07:04:52.158,06:54:49:827 -> 07:04:49:827,8, (2023-01-21 04:48:53:772),23.10, per minute,49.00,,0.0,,0.87,%,0.87,%,0.43,%,0.00,%,471.87,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:04:35:600),231,,231,,30.00,,157.01,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:53:17:188),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),49.00,,471.87,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:04:35:600),30.00,,157.01,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 06:53:17:188)
WebRequest,2023-01-21 07:14:52.176,07:04:49:827 -> 07:14:49:827,8, (2023-01-21 04:48:53:772),11.70, per minute,49.00,,0.0,,3.42,%,0.00,%,0.00,%,0.00,%,470.60,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:14:12:480),117,,117,,30.00,,156.88,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:04:35:808),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),49.00,,470.60,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:14:12:480),30.00,,156.88,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:04:35:808)
WebRequest,2023-01-21 07:24:52.190,07:14:49:827 -> 07:24:49:827,8, (2023-01-21 04:48:53:772),15.80, per minute,49.00,,0.0,,0.63,%,0.00,%,0.00,%,0.00,%,468.80,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:23:09:335),158,,158,,30.00,,156.48,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:14:12:480),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),49.00,,468.80,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:23:09:335),30.00,,156.48,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:14:12:480)
WebRequest,2023-01-21 07:34:52.208,07:24:49:827 -> 07:34:49:827,8, (2023-01-21 04:48:53:772),17.90, per minute,48.00,,0.0,,1.12,%,0.00,%,0.00,%,0.00,%,466.81,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:33:08:717),179,,179,,30.00,,155.92,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:23:59:373),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),48.00,,466.81,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:33:08:717),30.00,,155.92,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:23:59:373)
WebRequest,2023-01-21 07:44:52.227,07:34:49:828 -> 07:44:49:828,8, (2023-01-21 04:48:53:772),13.20, per minute,48.00,,0.0,,0.76,%,0.76,%,0.00,%,0.00,%,465.36,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:38:08:428),132,,132,,30.00,,155.58,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:33:08:717),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),48.00,,465.36,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:38:08:428),30.00,,155.58,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:33:08:717)
WebRequest,2023-01-21 07:54:52.244,07:44:49:828 -> 07:54:49:828,8, (2023-01-21 04:48:53:772),0.30, per minute,48.00,,0.0,,0.00,%,0.00,%,0.00,%,0.00,%,465.33,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:38:08:428),3,,3,,30.00,,155.68,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:43:34:666),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),48.00,,465.33,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 07:38:08:428),30.00,,155.68,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:43:34:666)
WebRequest,2023-01-21 08:04:52.261,07:54:49:828 -> 08:04:49:829,8, (2023-01-21 04:48:53:772),24.40, per minute,48.00,,0.0,,0.00,%,0.00,%,0.00,%,0.00,%,462.61,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:03:10:865),244,,244,,30.00,,154.79,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:52:27:996),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),48.00,,462.61,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:03:10:865),30.00,,154.79,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 07:52:27:996)
WebRequest,2023-01-21 08:14:52.282,08:04:49:829 -> 08:14:49:829,8, (2023-01-21 04:48:53:772),8.10, per minute,48.00,,0.0,,1.23,%,0.00,%,0.00,%,0.00,%,461.74,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:13:09:781),81,,81,,30.00,,154.51,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 08:03:10:866),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),48.00,,461.74,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:13:09:781),30.00,,154.51,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 08:03:10:866)
WebRequest,2023-01-21 08:24:52.298,08:14:49:829 -> 08:24:49:829,8, (2023-01-21 04:48:53:772),1.00, per minute,48.00,,0.0,,0.00,%,0.00,%,0.00,%,0.00,%,461.63,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:22:06:799),10,,10,,30.00,,154.56,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 08:13:09:781),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),48.00,,461.63,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:22:06:799),30.00,,154.56,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 08:13:09:781)
WebRequest,2023-01-21 08:34:53.347,08:24:49:829 -> 08:34:49:829,8, (2023-01-21 04:48:53:772),7.90, per minute,52.00,,0.0,,15.19,%,15.19,%,15.19,%,15.19,%,493.10,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:30:10:815),80,,79,,30.00,,154.27,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 08:22:06:799),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),52.00,,493.10,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:30:10:815),30.00,,154.27,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 08:22:06:799)
WebRequest,2023-01-21 08:44:53.368,08:34:49:829 -> 08:44:49:829,8, (2023-01-21 04:48:53:772),5.70, per minute,61.00,,2200.0,,96.49,%,92.98,%,71.93,%,31.58,%,539.33,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:30:10:815),56,,57,,33.00,,207.19,,7421, (2023-01-21 08:30:30:407),0, (2023-01-21 08:30:11:110),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),61.00,,539.33,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:30:10:815),33.00,,207.19,,7421, (2023-01-21 08:30:30:407),0, (2023-01-21 08:30:11:110)
WebRequest,2023-01-21 08:54:53.384,08:44:49:829 -> 08:54:49:829,8, (2023-01-21 04:48:53:772),39.60, per minute,66.00,,0.0,,4.55,%,3.79,%,3.79,%,3.79,%,578.44,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:54:47:792),396,,396,,40.00,,276.27,,8422, (2023-01-21 08:36:52:491),0, (2023-01-21 08:42:26:214),8, (2023-01-21 04:48:53:772),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),66.00,,578.44,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 08:54:47:792),40.00,,276.27,,8422, (2023-01-21 08:36:52:491),0, (2023-01-21 08:42:26:214)
